[ 2017-07-20T17:00:28+08:00 ] ::1 /jianghu/index.php/home/introduce/checkOtherUserIntro
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000016s ]
INFO: [ app_init ] --END-- [ RunTime:0.001255s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.001409s ]
INFO: [ app_begin ] --END-- [ RunTime:0.001497s ]
SQL: SHOW COLUMNS FROM `jianghu_token` [ RunTime:0.0047s ]
SQL: SHOW COLUMNS FROM `jianghu_user` [ RunTime:0.0073s ]
SQL: SHOW COLUMNS FROM `jianghu_login_count` [ RunTime:0.0050s ]
SQL: SHOW COLUMNS FROM `jianghu_daily_num` [ RunTime:0.0061s ]
SQL: SELECT * FROM `jianghu_token` WHERE `token` = 'sn/yv1TijVcqin9FrIPDScUO1G2njjZlU3MP4/aI7V/qZiFpRY2Pajeh5YsSBbLbHrqhvKOBa9l/TIpKbBFpoA==' AND `state` = 0 LIMIT 1   [ RunTime:0.0245s ]
SQL: SELECT `isban` FROM `jianghu_user` WHERE `id` = 1 LIMIT 1   [ RunTime:0.0107s ]
SQL: SELECT * FROM `jianghu_login_count` WHERE `user_id` = 1 AND `date` = '2017-07-20' LIMIT 1   [ RunTime:0.0055s ]
SQL: SELECT * FROM `jianghu_daily_num` WHERE `date` = '2017-07-20' LIMIT 1   [ RunTime:0.0015s ]
SQL: SELECT `jointime` FROM `jianghu_user` WHERE `id` = 1 LIMIT 1   [ RunTime:0.0003s ]
SQL: INSERT INTO `jianghu_login_count` (`user_id`,`date`) VALUES ('1','2017-07-20') [ RunTime:0.1101s ]
SQL: UPDATE `jianghu_user` SET `praisenum`=praisenum+1 WHERE `id` = 1 [ RunTime:0.0355s ]
SQL: SELECT * FROM `jianghu_daily_num` WHERE `date` = '2017-07-20'  [ RunTime:0.0004s ]
SQL: INSERT INTO `jianghu_daily_num` (`date`,`lognum`) VALUES ('2017-07-20','1') [ RunTime:0.0435s ]
SQL: SHOW COLUMNS FROM `jianghu_introduce` [ RunTime:0.0056s ]
SQL: SELECT * FROM `jianghu_introduce` WHERE `user_id` = 2 ORDER BY time desc LIMIT 0,10   [ RunTime:0.0040s ]
SQL: SHOW COLUMNS FROM `jianghu_introduce_images` [ RunTime:0.0061s ]
SQL: SHOW COLUMNS FROM `jianghu_business` [ RunTime:0.0066s ]
SQL: SHOW COLUMNS FROM `jianghu_praise` [ RunTime:0.0053s ]
SQL: SHOW COLUMNS FROM `jianghu_collection` [ RunTime:0.0041s ]
SQL: SHOW COLUMNS FROM `jianghu_oppose` [ RunTime:0.0071s ]
SQL: SELECT * FROM `jianghu_introduce` WHERE `id` = 334 LIMIT 1   [ RunTime:0.0005s ]
SQL: SELECT `imageurl`,`thumb_imageurl` FROM `jianghu_introduce_images` WHERE `introduce_id` = 334  [ RunTime:0.0052s ]
SQL: SELECT `username` FROM `jianghu_user` WHERE `id` = 2 LIMIT 1   [ RunTime:0.0004s ]
SQL: SELECT `faceurl` FROM `jianghu_user` WHERE `id` = 2 LIMIT 1   [ RunTime:0.0003s ]
SQL: SELECT COUNT('degree') as degree_count,degree FROM jianghu_introduce WHERE isforward=334 or id=334 GROUP BY degree ORDER BY degree ASC  [ RunTime:0.0007s ]
SQL: SELECT * FROM `jianghu_praise` WHERE `introduce_id` = 334 AND `user_id` = 1 LIMIT 1   [ RunTime:0.0014s ]
SQL: SELECT * FROM `jianghu_oppose` WHERE `introduce_id` = 334 AND `user_id` = 1 LIMIT 1   [ RunTime:0.0015s ]
SQL: SELECT * FROM `jianghu_collection` WHERE `introduce_id` = 334 AND `user_id` = 1 LIMIT 1   [ RunTime:0.0030s ]
SQL: SELECT * FROM `jianghu_introduce` WHERE `id` = 319 LIMIT 1   [ RunTime:0.0006s ]
SQL: SELECT `imageurl`,`thumb_imageurl` FROM `jianghu_introduce_images` WHERE `introduce_id` = 319  [ RunTime:0.0010s ]
SQL: SELECT `username` FROM `jianghu_user` WHERE `id` = 2 LIMIT 1   [ RunTime:0.0005s ]
SQL: SELECT `faceurl` FROM `jianghu_user` WHERE `id` = 2 LIMIT 1   [ RunTime:0.0004s ]
SQL: SELECT COUNT('degree') as degree_count,degree FROM jianghu_introduce WHERE isforward=319 or id=319 GROUP BY degree ORDER BY degree ASC  [ RunTime:0.0008s ]
SQL: SELECT * FROM `jianghu_praise` WHERE `introduce_id` = 319 AND `user_id` = 1 LIMIT 1   [ RunTime:0.0004s ]
